2026-05-24 23:56:56 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:59 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:59 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:02 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:02 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:05 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:05 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:08 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:08 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:11 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:11 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:15 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:15 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:18 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:18 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:21 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:21 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:24 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:24 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:27 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:27 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:30 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:30 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:33 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:33 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:36 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:36 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:39 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:39 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:42 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:42 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:45 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:45 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:48 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:48 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:51 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:51 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:54 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:54 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:57:57 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:57:57 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:00 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:00 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:03 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:03 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
